Hotel Name,Location,Price per Night (USD),Amenities,Category,Rating,Number of Reviews,Room Type,Meal Plan,Distance to Landmark,Country
Riverbend Hotel,Bali,205,"Pool, Free WiFi, Parking",Luxury Resort,3.3,896,Deluxe Suite,Breakfast Only,16 km from Airport,Indonesia
Skyline Suites,Bali,379,"Bar, Pool, Beach Access, Gym",Luxury Resort,4.9,894,Single,Breakfast Only,13 km from Beach,Indonesia
Ocean View Retreat,Tokyo,173,"Spa, Airport Shuttle, Bar, Pet-friendly, Pool",Beach Resort,3.1,745,Deluxe Suite,Breakfast Only,17 km from Shopping Mall,Japan
Coastal Breeze,Cape Town,498,"Free WiFi, Spa, Airport Shuttle",Luxury Resort,4.6,1811,Family Room,Full Board,3 km from Beach,South Africa
Sunset Paradise,Paris,336,"Restaurant, Bar, Parking, Pet-friendly, Pool",City Hotel,3.2,1567,Deluxe Suite,Half Board,18 km from Airport,France
Sunset Paradise,Bali,93,"Restaurant, Gym, Pet-friendly",Boutique Hotel,4.9,1285,Family Room,Breakfast Only,1 km from Beach,Indonesia
Palm Grove Lodge,Tokyo,73,"Spa, Parking, Bar, Pet-friendly, Airport Shuttle, Free WiFi",Boutique Hotel,3.3,186,Suite,Half Board,7 km from Beach,Japan
Sunset Paradise,Sydney,306,"Pet-friendly, Gym, Pool",Beach Resort,4.8,1783,Family Room,All Inclusive,16 km from Beach,Australia
City Lights Inn,Cape Town,202,"Pet-friendly, Bar, Airport Shuttle",Beach Resort,3.3,739,Double,Full Board,7 km from Airport,South Africa
Riverbend Hotel,New York,252,"Spa, Airport Shuttle, Bar",Mountain Lodge,3.8,1039,Suite,All Inclusive,10 km from Airport,USA
Mountain Escape,Phuket,422,"Restaurant, Parking, Gym",Boutique Hotel,4.4,1209,Double,Breakfast Only,2 km from Beach,Thailand
Ocean View Retreat,Dubai,278,"Restaurant, Spa, Pool",Mountain Lodge,4.3,987,Double,Full Board,3 km from Shopping Mall,UAE
Riverbend Hotel,Tokyo,441,"Pet-friendly, Spa, Bar",City Hotel,4.2,1779,Deluxe Suite,All Inclusive,18 km from Museum,Japan
Sunset Paradise,Paris,266,"Airport Shuttle, Free WiFi, Restaurant",Mountain Lodge,3.9,137,Family Room,Breakfast Only,3 km from Beach,France
Coastal Breeze,Dubai,397,"Spa, Restaurant, Bar, Free WiFi",Boutique Hotel,4.9,1113,Single,Breakfast Only,14 km from City Center,UAE
Coastal Breeze,Cape Town,57,"Restaurant, Pet-friendly, Beach Access, Bar",Beach Resort,4.7,1222,Family Room,Half Board,17 km from Airport,South Africa
Lakeside Haven,Paris,455,"Restaurant, Pool, Gym",Mountain Lodge,4.8,1219,Single,Full Board,16 km from Shopping Mall,France
City Lights Inn,Tokyo,470,"Parking, Airport Shuttle, Bar",Mountain Lodge,3.4,168,Deluxe Suite,All Inclusive,15 km from Airport,Japan
Riverbend Hotel,Rome,435,"Pool, Pet-friendly, Free WiFi",Mountain Lodge,4.4,1560,Single,Breakfast Only,5 km from Airport,Italy
Golden Sands Resort,Rome,308,"Bar, Beach Access, Parking, Spa, Gym, Airport Shuttle",Luxury Resort,3.6,1159,Suite,Breakfast Only,14 km from Beach,Italy
Golden Sands Resort,Cape Town,265,"Free WiFi, Parking, Spa, Pet-friendly, Gym, Airport Shuttle",Luxury Resort,3.0,229,Double,All Inclusive,9 km from Beach,South Africa
Mountain Escape,Sydney,279,"Free WiFi, Airport Shuttle, Bar, Restaurant, Spa, Beach Access",Boutique Hotel,4.7,870,Family Room,All Inclusive,7 km from Beach,Australia
Skyline Suites,Bali,191,"Pool, Parking, Spa, Free WiFi",Luxury Resort,3.4,798,Double,Full Board,18 km from Beach,Indonesia
Lakeside Haven,Goa,160,"Beach Access, Pool, Gym, Parking",City Hotel,4.7,1642,Deluxe Suite,Half Board,14 km from City Center,India
Mountain Escape,Tokyo,493,"Beach Access, Parking, Airport Shuttle",Luxury Resort,4.5,724,Single,Half Board,19 km from Museum,Japan
City Lights Inn,Phuket,288,"Pet-friendly, Restaurant, Gym",Luxury Resort,3.1,149,Suite,Full Board,14 km from Museum,Thailand
Mountain Escape,Goa,412,"Parking, Pool, Gym, Restaurant, Spa, Free WiFi",Beach Resort,4.4,1526,Double,Full Board,7 km from Shopping Mall,India
Skyline Suites,Cape Town,430,"Free WiFi, Parking, Pool",Beach Resort,4.6,1620,Family Room,Full Board,3 km from Shopping Mall,South Africa
Sunset Paradise,Cape Town,172,"Airport Shuttle, Beach Access, Parking, Spa, Pet-friendly, Gym",Luxury Resort,4.5,1046,Deluxe Suite,All Inclusive,6 km from Museum,South Africa
Coastal Breeze,New York,474,"Pet-friendly, Free WiFi, Parking, Pool, Beach Access, Spa",Luxury Resort,3.2,192,Deluxe Suite,Half Board,12 km from City Center,USA
Coastal Breeze,Sydney,340,"Pool, Beach Access, Restaurant",Boutique Hotel,4.3,1809,Deluxe Suite,Half Board,4 km from Shopping Mall,Australia
